,Unnamed: 0,token,rep,dem,base,dem_p,rep_p,score,ngram
0,3288018,obamacare,10270.0,502.0,10772.0,2.0641067986949415e-05,0.00041828509464891583,0.9059474246739158,1
1,2249424,hatch,9800.0,730.0,10530.0,3.0015895678233214e-05,0.0003991425440661514,0.8601174163271201,1
2,2996139,mcconnell,8161.0,1167.0,9328.0,4.79843154198605e-05,0.000332387990012639,0.7476981644849232,1
3,4748165,texas,7685.0,1539.0,9224.0,6.328008691616565e-05,0.0003130010664437116,0.6636552941802841,1
4,1191824,cornyn,7790.0,937.0,8727.0,3.8527252397951395e-05,0.00031727759370156326,0.7834360446727825,1
5,4176713,ryan,7115.0,1503.0,8618.0,6.179985096491031e-05,0.00028978563275823137,0.6484504973841579,1
6,4804574,thune,6294.0,324.0,6618.0,1.3322123561298033e-05,0.0002563472624849344,0.9011966188923344,1
7,698190,blunt,5770.0,620.0,6390.0,2.549295249384191e-05,0.00023500535502670342,0.804275484654876,1
8,2476214,indiana,5523.0,456.0,5979.0,1.8749655382567602e-05,0.00022494533376299532,0.8461219457297241,1
9,1309291,dakota,4861.0,631.0,5492.0,2.5945246812281038e-05,0.00019798284762301654,0.7682716241773072,1
10,594960,barrasso,5256.0,181.0,5437.0,7.442297421589332e-06,0.0002140707358787441,0.9328048800496641,1
11,3509942,penny,4567.0,552.0,5119.0,2.269695125258183e-05,0.00018600857130103202,0.7824978373847173,1
12,1249914,crapo,4490.0,327.0,4817.0,1.3445476557235976e-05,0.00018287245131194083,0.8630234466798586,1
13,2383120,idaho,4625.0,157.0,4782.0,6.455473454085774e-06,0.0001883708435006072,0.9337309912234598,1
14,5290685,wyoming,4250.0,390.0,4640.0,1.6035889471932816e-05,0.0001730975318654228,0.8304277545603139,1
15,5041392,utah,4078.0,368.0,4446.0,1.5131300835054553e-05,0.0001660921729287516,0.8330094824826543,1
16,2677185,kentucky,3786.0,479.0,4265.0,1.9695361684758512e-05,0.00015419935426882136,0.773479469151713,1
17,3094891,missouri,3499.0,391.0,3890.0,1.6077007137245458e-05,0.00014251017976402692,0.7972470859546286,1
18,1013704,colorado,3256.0,573.0,3829.0,2.356042222414744e-05,0.00013261307382442746,0.6982788652330688,1
19,3390914,orrin,3302.0,189.0,3491.0,7.771238744090518e-06,0.00013448660005167674,0.8907443159565032,1
20,2084875,gardner,3247.0,116.0,3363.0,4.769649176267196e-06,0.00013224651434518304,0.9303782991191328,1
21,2994422,mccarthy,2958.0,360.0,3318.0,1.4802359512553365e-05,0.00012047588217833428,0.7811568316155834,1
22,4222241,scalise,3136.0,63.0,3199.0,2.5904129146968394e-06,0.00012772561410116846,0.96024413920505,1
23,1725550,entitlement,2686.0,465.0,3151.0,1.9119714370381437e-05,0.00010939764013894722,0.7024570814832078,1
24,4140147,rodgers,2682.0,54.0,2736.0,2.220353926883005e-06,0.00010923472481483859,0.9601569717243968,1
25,2999912,mcmorris,2645.0,59.0,2704.0,2.4259422534462464e-06,0.00010772775806683372,0.9559535041239168,1
26,3098580,mitch,2171.0,358.0,2529.0,1.4720124181928073e-05,8.842229215996071e-05,0.7145670093061443,1
27,1258639,creator,2177.0,231.0,2408.0,9.498180687221744e-06,8.866666514612364e-05,0.8064850893089198,1
28,4174332,rutah,2284.0,102.0,2386.0,4.1940018618901205e-06,9.302465006602958e-05,0.9137202218150554,1
29,2681698,keystone,1873.0,391.0,2264.0,1.6077007137245458e-05,7.62851005138675e-05,0.6518700677993519,1
30,4157085,roy,1988.0,242.0,2230.0,9.950475005660873e-06,8.096891608199072e-05,0.7811143500495282,1
31,2679916,kevin,1959.0,267.0,2226.0,1.097841663847708e-05,7.978777998220312e-05,0.7580945980504871,1
32,2336176,hoosier,2128.0,30.0,2158.0,1.2335299593794471e-06,8.667095242579289e-05,0.9719347654201644,1
33,770534,bureaucrat,1960.0,111.0,2071.0,4.5640608497039545e-06,7.982850881323029e-05,0.8918373769649884,1
34,2815155,liberal,1629.0,335.0,1964.0,1.3774417879737162e-05,6.634726574324088e-05,0.6561625453465432,1
35,4159878,rtx,1566.0,275.0,1841.0,1.1307357960978266e-05,6.378134938852991e-05,0.6988266715433789,1
36,1283203,cruz,1492.0,278.0,1770.0,1.1430710956916212e-05,6.07674158925202e-05,0.6833515921886985,1
37,768630,burdensome,1369.0,282.0,1651.0,1.1595181618166805e-05,5.5757769676179726e-05,0.6556889818385706,1
38,4158721,rsd,1414.0,152.0,1566.0,6.249885127522533e-06,5.7590567072401856e-05,0.8042029806446159,1
39,1200890,cory,1272.0,294.0,1566.0,1.2088593601918582e-05,5.180707306654537e-05,0.6216146029231441,1
40,3101125,mo,1424.0,100.0,1524.0,4.111766531264824e-06,5.7997855382673425e-05,0.8675964720261133,1
41,858207,cathy,1408.0,106.0,1514.0,4.358472523140714e-06,5.7346194086238905e-05,0.8587311863871836,1
42,3882642,realdonaldtrump,1364.0,124.0,1488.0,5.0985904987683815e-06,5.555412552104395e-05,0.8318759378523818,1
43,769868,bureaucracy,1182.0,265.0,1447.0,1.0896181307851784e-05,4.814147827410112e-05,0.6308735344521477,1
44,4661566,susteren,1336.0,44.0,1380.0,1.8091772737565224e-06,5.441371825228351e-05,0.935642685890534,1
45,4559031,stivers,1354.0,10.0,1364.0,4.1117665312648244e-07,5.514683721077235e-05,0.9851982954562146,1
46,4159298,rtexas,1175.0,122.0,1297.0,5.016355168143086e-06,4.7856376456911024e-05,0.8102479287918595,1
47,5298325,xl,1093.0,200.0,1293.0,8.223533062529648e-06,4.451661231268404e-05,0.6881490180194131,1
48,2230497,hannity,1244.0,43.0,1287.0,1.7680596084438744e-06,5.0666665797784946e-05,0.93256150023687,1
49,3044837,messer,1253.0,2.0,1255.0,8.223533062529648e-08,5.1033225277029355e-05,0.9967823695747748,1
50,3414585,overreach,1112.0,127.0,1239.0,5.221943494706327e-06,4.529046010220004e-05,0.7932411398840602,1
51,4120532,risch,1109.0,113.0,1222.0,4.646296180329251e-06,4.5168273609118576e-05,0.8134563361696049,1
52,4174079,rut,978.0,157.0,1135.0,6.455473454085774e-06,3.983279674456083e-05,0.7210751913440687,1
53,4747600,texan,1103.0,13.0,1116.0,5.345296490644271e-07,4.4923900622955624e-05,0.9764827053699022,1
54,4862222,tpa,1049.0,64.0,1113.0,2.6315305800094877e-06,4.272454374748906e-05,0.883961272264957,1
55,4129332,rla,964.0,143.0,1107.0,5.879826139708699e-06,3.926259311018061e-05,0.7394988466541647,1
